factor_id;factor;severity;description;example
R10;no_cod_option;medium;Penjual menolak opsi COD tanpa alasan yang jelas;Maaf gak bisa COD kak, harus transfer dulu.
R04;unknown_seller;medium;Pengguna tidak mengenal atau belum pernah bertransaksi dengan penjual ini;Akun ini saya buat khusus untuk jual sepeda bekas.
R08;new_account;medium;Akun penjual baru dibuat (kurang dari 30 hari);Toko ini baru buka 15 menit yang lalu di marketplace.
R05;no_product_evidence;medium;Penjual tidak memberikan bukti foto/video barang asli;Fotonya nyusul ya kak, sekarang belum sempat foto barangnya.
R02;urgency;medium;Penjual mendesak pembayaran cepat (mis. 'stok terbatas', 'buruan');Harga segini cuma untuk yang transfer dalam 30 menit ini.
R09;unverified_account;low;Akun penjual tidak terverifikasi;Maaf belum sempat verifikasi akun, tapi barang dijamin sampai.
R05;no_product_evidence;medium;Penjual tidak memberikan bukti foto/video barang asli;Saya cuma punya foto dari katalog, bukan foto barang asli.
R01;direct_transfer;high;Penjual meminta transfer langsung sebelum barang dikirim;Rekening saya Rp2.500.000, transfer dulu baru saya kirim.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Kode OTP diperlukan untuk memproses refund pembayaran Anda.
R12;suspicious_link;medium;Pesan berisi tautan mencurigakan untuk klaim hadiah/verifikasi;Tautan berikut untuk proses klaim paket yang tertahan di gudang.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Tolong konfirmasi dengan mengirimkan kode OTP 6 digit Anda.
R07;pin_password_request;critical;Diminta memberikan PIN, password, atau data rahasia lainnya;Kirim PIN kartu ATM untuk verifikasi transaksi cashback.
R12;suspicious_link;medium;Pesan berisi tautan mencurigakan untuk klaim hadiah/verifikasi;Klik link berikut untuk klaim hadiah undian senilai Rp10.000.000.
R10;no_cod_option;medium;Penjual menolak opsi COD tanpa alasan yang jelas;Sistem toko kami tidak mendukung COD, hanya transfer.
R07;pin_password_request;critical;Diminta memberikan PIN, password, atau data rahasia lainnya;Silakan berikan password akun Anda supaya saya bisa bantu proses refund.
R01;direct_transfer;high;Penjual meminta transfer langsung sebelum barang dikirim;Pembayaran harus lunas dulu via transfer sebelum diproses.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Tolong konfirmasi dengan mengirimkan kode OTP 6 digit Anda.
R04;unknown_seller;medium;Pengguna tidak mengenal atau belum pernah bertransaksi dengan penjual ini;Maaf belum ada testimoni, tapi barangnya beneran ada kok.
R03;unrealistic_price;high;Harga jauh di bawah harga pasar wajar;Stok gudang, iPhone dijual Rp2.500.000 padahal harga normal jauh lebih mahal.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Untuk verifikasi pengiriman, saya butuh OTP dari SMS Anda.
R10;no_cod_option;medium;Penjual menolak opsi COD tanpa alasan yang jelas;COD cuma untuk pembelian di atas 5 unit, kalau satuan harus transfer.
R07;pin_password_request;critical;Diminta memberikan PIN, password, atau data rahasia lainnya;Mohon kirimkan PIN ATM Anda untuk proses pencairan dana.
R05;no_product_evidence;medium;Penjual tidak memberikan bukti foto/video barang asli;Foto yang saya kirim itu contoh produk, bukan stok yang akan dikirim.
R11;personal_data_request;high;Diminta mengirim foto KTP atau data identitas pribadi;Data KTP diperlukan supaya pengiriman motor bekas bisa diproses.
R03;unrealistic_price;high;Harga jauh di bawah harga pasar wajar;Jual sepeda cuma Rp5.000.000, jauh di bawah harga toko resmi.
R03;unrealistic_price;high;Harga jauh di bawah harga pasar wajar;iPhone baru garansi resmi tapi harganya cuma setengah dari pasaran.
R08;new_account;medium;Akun penjual baru dibuat (kurang dari 30 hari);Toko ini baru buka 15 menit yang lalu di marketplace.
R11;personal_data_request;high;Diminta mengirim foto KTP atau data identitas pribadi;Data KTP diperlukan supaya pengiriman kamera bisa diproses.
R10;no_cod_option;medium;Penjual menolak opsi COD tanpa alasan yang jelas;COD tidak tersedia untuk area Anda, harus DP dulu.
R10;no_cod_option;medium;Penjual menolak opsi COD tanpa alasan yang jelas;COD tidak tersedia untuk area Anda, harus DP dulu.
R09;unverified_account;low;Akun penjual tidak terverifikasi;Maaf belum sempat verifikasi akun, tapi barang dijamin sampai.
R05;no_product_evidence;medium;Penjual tidak memberikan bukti foto/video barang asli;Maaf gak bisa kirim video unboxing sebelum transfer.
R04;unknown_seller;medium;Pengguna tidak mengenal atau belum pernah bertransaksi dengan penjual ini;Halo kak, saya jual sepatu branded, ini pertama kali kita transaksi ya.
R03;unrealistic_price;high;Harga jauh di bawah harga pasar wajar;Harga miring banget buat jam tangan ini, cuma Rp1.000.000 aja.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Mohon kirimkan kode OTP yang baru saja masuk ke HP Anda.
R09;unverified_account;low;Akun penjual tidak terverifikasi;Status toko belum verified, tapi sudah banyak yang order dari saya.
R02;urgency;medium;Penjual mendesak pembayaran cepat (mis. 'stok terbatas', 'buruan');Harga segini cuma untuk yang transfer dalam 15 menit ini.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Mohon kirimkan kode OTP yang baru saja masuk ke HP Anda.
R11;personal_data_request;high;Diminta mengirim foto KTP atau data identitas pribadi;Data KTP diperlukan supaya pengiriman PS5 bisa diproses.
R03;unrealistic_price;high;Harga jauh di bawah harga pasar wajar;Harga segini gak masuk akal untuk kualitas original, tapi saya jual segitu.
R12;suspicious_link;medium;Pesan berisi tautan mencurigakan untuk klaim hadiah/verifikasi;Segera verifikasi akun Anda lewat tautan ini sebelum diblokir.
R06;otp_request;critical;Penjual atau pihak lain meminta kode OTP;Tolong konfirmasi dengan mengirimkan kode OTP 6 digit Anda.
