case_id,product,price,market_price,seller_known,payment,urgency,evidence,label,seller_user_id
C0001,Set Peralatan Dapur,948rb,950rb,yes,COD,no,yes,low,U05384
C0002,Samsung Galaxy S23,5.9jt,11.5jt,yes,transfer,yes,no,high,U06407
C0003,Kursi Gaming,1.4jt,2.4jt,no,e-wallet (protected),no,no,high,U06774
C0004,TV LED 50 inch,5.4jt,6jt,no,COD,no,yes,low,U00296
C0005,Speaker Bluetooth,601rb,700rb,yes,COD,yes,yes,low,U01372
C0006,Kompor Gas 2 Tungku,225rb,550rb,no,transfer,no,no,high,U04456
C0007,Samsung Galaxy S23,4.6jt,11.5jt,no,transfer,yes,no,high,U09955
C0008,Sofa 3 Dudukan,1.1jt,3.2jt,no,transfer,yes,no,high,U05889
C0009,PS5,4.8jt,8jt,no,transfer,no,yes,high,U06636
C0010,Sepeda Lipat,1.0jt,2.8jt,no,transfer,yes,no,high,U07077
C0011,Sofa 3 Dudukan,775rb,3.2jt,no,transfer,yes,no,high,U01675
C0012,AC 1 PK,3.6jt,3.8jt,no,COD,no,no,medium,U08717
C0013,Tas Branded,3.9jt,4.5jt,yes,transfer,no,yes,low,U07720
C0014,Motor Bekas Matic,11.9jt,14jt,no,e-wallet (protected),yes,yes,medium,U00407
C0015,Lemari Pakaian,725rb,2jt,no,transfer,yes,no,high,U01401
C0016,Printer Epson,269rb,1.4jt,no,transfer,yes,no,high,U08819
C0017,Kompor Gas 2 Tungku,172rb,550rb,no,transfer,yes,no,high,U01398
C0018,Karpet Persia,2.1jt,2.2jt,yes,e-wallet (protected),yes,no,medium,U07490
C0019,Sepeda Lipat,2.8jt,2.8jt,no,COD,no,yes,low,U07889
C0020,Handphone Xiaomi,2.9jt,3jt,no,COD,no,yes,low,U09665
C0021,Karpet Persia,1.7jt,2.2jt,yes,transfer,yes,no,high,U07463
C0022,Perhiasan Emas 10gr,5.4jt,10jt,yes,transfer,yes,yes,high,U03027
C0023,iPhone 15 Pro,19.0jt,19.5jt,yes,e-wallet (protected),yes,yes,low,U09565
C0024,Kulkas 2 Pintu,874rb,5jt,no,e-wallet (protected),yes,no,high,U08163
C0025,Tablet iPad,4.0jt,7.5jt,no,transfer,yes,no,high,U08358
C0026,Lemari Pakaian,652rb,2jt,no,transfer,yes,yes,high,U02128
C0027,Sofa 3 Dudukan,1.8jt,3.2jt,yes,transfer,yes,yes,high,U04870
C0028,Laptop ASUS ROG,17.8jt,17jt,no,e-wallet (protected),yes,no,medium,U05950
C0029,Meja Kerja Kayu,661rb,1.1jt,no,COD,no,no,medium,U02454
C0030,Karpet Persia,583rb,2.2jt,no,e-wallet (protected),yes,no,high,U09204
C0031,Laptop Macbook Air M2,13.8jt,15.5jt,yes,e-wallet (protected),no,yes,low,U04640
C0032,Drone DJI Mini,5.8jt,7jt,no,COD,yes,no,medium,U00268
C0033,Speaker Bluetooth,715rb,700rb,yes,e-wallet (protected),no,yes,low,U07280
C0034,Speaker Bluetooth,687rb,700rb,yes,COD,no,yes,low,U04737
C0035,Sepeda Lipat,2.4jt,2.8jt,no,COD,yes,no,medium,U05640
C0036,Sepatu Sneakers Original,475rb,1.6jt,no,transfer,yes,yes,high,U03944
C0037,Perhiasan Emas 10gr,9.0jt,10jt,yes,COD,no,yes,low,U05542
C0038,Jam Tangan Original,3.8jt,3.8jt,yes,transfer,yes,yes,medium,U05455
C0039,Perhiasan Emas 10gr,9.6jt,10jt,yes,transfer,no,yes,medium,U02762
C0040,Set Kosmetik Original,426rb,450rb,no,e-wallet (protected),no,yes,low,U09226
C0041,iPhone 13,10.0jt,10jt,no,COD,no,yes,low,U09276
C0042,AC 1 PK,3.2jt,3.8jt,no,e-wallet (protected),no,no,medium,U05090
C0043,AC 1 PK,3.3jt,3.8jt,yes,e-wallet (protected),no,no,low,U08225
C0044,Sofa 3 Dudukan,1.1jt,3.2jt,no,transfer,yes,no,high,U09231
C0045,Karpet Persia,905rb,2.2jt,no,transfer,yes,yes,high,U03787
C0046,Tablet iPad,2.9jt,7.5jt,no,transfer,yes,no,high,U07363
C0047,Motor Bekas Matic,5.6jt,14jt,no,transfer,yes,no,high,U00455
C0048,Sepeda Lipat,2.4jt,2.8jt,yes,e-wallet (protected),yes,yes,low,U04808
C0049,Jam Tangan Original,3.2jt,3.8jt,no,e-wallet (protected),no,no,medium,U04938
C0050,Drone DJI Mini,1.4jt,7jt,no,transfer,yes,no,high,U02610
C0051,Jam Tangan Original,3.9jt,3.8jt,yes,COD,no,yes,low,U01502
C0052,Lemari Pakaian,719rb,2jt,no,transfer,no,no,high,U02657
C0053,Speaker Bluetooth,557rb,700rb,no,transfer,no,yes,medium,U03896
C0054,Kursi Gaming,2.1jt,2.4jt,yes,e-wallet (protected),no,no,low,U06266
C0055,Drone DJI Mini,4.8jt,7jt,yes,transfer,yes,no,high,U03177
C0056,TV LED 50 inch,3.9jt,6jt,yes,transfer,yes,no,high,U03853
C0057,Lemari Pakaian,1.9jt,2jt,no,COD,no,no,medium,U00920
C0058,Mesin Cuci,3.3jt,3.8jt,yes,COD,no,no,low,U01134
C0059,Sepatu Sneakers Original,1.2jt,1.6jt,yes,transfer,yes,yes,medium,U06142
C0060,Kursi Gaming,2.4jt,2.4jt,no,COD,no,yes,low,U03422
C0061,Sepatu Sneakers Original,1.4jt,1.6jt,no,COD,no,yes,low,U06091
C0062,Speaker Bluetooth,535rb,700rb,no,e-wallet (protected),yes,yes,medium,U02019
C0063,Sepatu Sneakers Original,576rb,1.6jt,no,transfer,yes,no,high,U05650
C0064,Tas Branded,882rb,4.5jt,no,transfer,yes,no,high,U09434
C0065,Samsung Galaxy S23,10.3jt,11.5jt,no,e-wallet (protected),no,yes,low,U08092
C0066,Sepatu Sneakers Original,915rb,1.6jt,no,e-wallet (protected),yes,no,high,U04470
C0067,Motor Bekas Matic,11.6jt,14jt,yes,transfer,yes,no,high,U09525
C0068,Printer Epson,531rb,1.4jt,no,transfer,yes,no,high,U03628
C0069,TV LED 50 inch,2.3jt,6jt,no,transfer,yes,no,high,U03851
C0070,iPhone 15 Pro,6.0jt,19.5jt,no,transfer,yes,no,high,U05778
C0071,iPhone 13,9.2jt,10jt,yes,COD,yes,yes,low,U01038
C0072,Kulkas 2 Pintu,1.3jt,5jt,no,transfer,yes,no,high,U08622
C0073,Handphone Xiaomi,342rb,3jt,yes,transfer,yes,no,high,U08538
C0074,Laptop Macbook Air M2,8.4jt,15.5jt,no,transfer,no,yes,high,U05557
C0075,Speaker Bluetooth,245rb,700rb,no,transfer,yes,no,high,U08959
C0076,Drone DJI Mini,3.0jt,7jt,no,transfer,no,no,high,U09558
C0077,Sepeda Lipat,2.8jt,2.8jt,no,transfer,no,no,medium,U08239
C0078,Kamera Mirrorless Sony,7.7jt,10.5jt,yes,transfer,no,yes,medium,U05325
C0079,Laptop ASUS ROG,10.7jt,17jt,no,transfer,no,yes,medium,U08869
C0080,Set Peralatan Dapur,961rb,950rb,yes,COD,no,yes,low,U09510
C0081,TV LED 50 inch,2.3jt,6jt,no,transfer,yes,no,high,U04108
C0082,Lemari Pakaian,1.0jt,2jt,no,COD,no,no,medium,U05040
C0083,Kulkas 2 Pintu,1.7jt,5jt,no,COD,yes,yes,medium,U07455
C0084,Tas Branded,2.6jt,4.5jt,no,transfer,yes,yes,high,U07041
C0085,Sepeda Lipat,1.6jt,2.8jt,no,transfer,yes,yes,high,U00138
C0086,TV LED 50 inch,4.0jt,6jt,no,transfer,yes,yes,high,U05381
C0087,Handphone Xiaomi,501rb,3jt,no,transfer,yes,no,high,U02459
C0088,Mesin Cuci,1.5jt,3.8jt,no,transfer,yes,no,high,U05238
C0089,Kulkas 2 Pintu,4.3jt,5jt,yes,e-wallet (protected),no,no,low,U02138
C0090,Set Kosmetik Original,408rb,450rb,yes,COD,yes,yes,low,U08377
C0091,Laptop ASUS ROG,4.1jt,17jt,no,transfer,no,yes,high,U08699
C0092,Mesin Cuci,3.4jt,3.8jt,yes,COD,no,yes,low,U01610
C0093,Motor Bekas Matic,9.2jt,14jt,no,e-wallet (protected),no,no,medium,U04880
C0094,Printer Epson,1.4jt,1.4jt,no,COD,no,yes,low,U09755
C0095,Samsung Galaxy S23,10.7jt,11.5jt,no,COD,no,yes,low,U05319
C0096,Kursi Gaming,299rb,2.4jt,no,transfer,yes,no,high,U05427
C0097,Meja Kerja Kayu,1.0jt,1.1jt,yes,COD,no,yes,low,U05457
C0098,Speaker Bluetooth,209rb,700rb,no,transfer,yes,no,high,U05214
C0099,Jam Tangan Original,2.4jt,3.8jt,no,e-wallet (protected),yes,no,medium,U04095
C0100,Samsung Galaxy S23,11.3jt,11.5jt,no,transfer,no,no,medium,U07067
C0101,Drone DJI Mini,7.0jt,7jt,yes,transfer,yes,yes,medium,U00733
C0102,Meja Kerja Kayu,312rb,1.1jt,no,transfer,yes,no,high,U06141
C0103,TV LED 50 inch,4.0jt,6jt,no,transfer,yes,yes,high,U07347
C0104,TV LED 50 inch,5.2jt,6jt,no,e-wallet (protected),no,yes,low,U03645
C0105,Sepatu Sneakers Original,905rb,1.6jt,no,e-wallet (protected),yes,no,high,U07118
C0106,Kulkas 2 Pintu,4.1jt,5jt,no,transfer,no,no,high,U05974
C0107,Tablet iPad,6.6jt,7.5jt,yes,transfer,no,no,medium,U02505
C0108,Sepatu Sneakers Original,522rb,1.6jt,no,e-wallet (protected),yes,no,high,U04703
C0109,Kompor Gas 2 Tungku,365rb,550rb,no,COD,no,no,medium,U09049
C0110,Set Kosmetik Original,452rb,450rb,no,COD,no,yes,low,U07848
C0111,Mesin Cuci,1.5jt,3.8jt,no,transfer,yes,no,high,U08930
C0112,Kamera Mirrorless Sony,8.1jt,10.5jt,no,e-wallet (protected),yes,no,high,U07073
C0113,Drone DJI Mini,5.6jt,7jt,no,transfer,yes,no,high,U09110
C0114,Motor Bekas Matic,5.3jt,14jt,no,transfer,yes,yes,high,U02908
C0115,TV LED 50 inch,2.4jt,6jt,no,transfer,yes,no,high,U04151
C0116,Set Kosmetik Original,69rb,450rb,no,e-wallet (protected),yes,no,high,U00986
C0117,Samsung Galaxy S23,4.6jt,11.5jt,no,transfer,yes,no,high,U01521
C0118,Set Kosmetik Original,322rb,450rb,yes,transfer,no,yes,medium,U03609
C0119,Meja Kerja Kayu,421rb,1.1jt,no,transfer,yes,no,high,U07977
C0120,iPhone 13,5.2jt,10jt,no,transfer,no,yes,high,U07677
C0121,Tablet iPad,6.6jt,7.5jt,no,COD,no,yes,low,U06902
C0122,Laptop Macbook Air M2,15.2jt,15.5jt,yes,transfer,yes,yes,medium,U03757
C0123,Lemari Pakaian,1.1jt,2jt,no,e-wallet (protected),no,no,medium,U01548
C0124,Sepatu Sneakers Original,271rb,1.6jt,no,transfer,yes,no,high,U06732
C0125,Mesin Cuci,762rb,3.8jt,no,transfer,yes,no,high,U07178
C0126,Handphone Xiaomi,351rb,3jt,no,transfer,yes,no,high,U00401
C0127,Speaker Bluetooth,123rb,700rb,no,transfer,yes,no,high,U02286
C0128,Kompor Gas 2 Tungku,478rb,550rb,no,COD,no,yes,low,U00391
C0129,Printer Epson,1.4jt,1.4jt,yes,COD,no,no,low,U04209
C0130,Jam Tangan Original,2.2jt,3.8jt,yes,e-wallet (protected),yes,no,medium,U02208
C0131,Printer Epson,534rb,1.4jt,no,transfer,yes,no,high,U06142
C0132,Printer Epson,334rb,1.4jt,no,transfer,no,no,high,U00241
C0133,AC 1 PK,3.5jt,3.8jt,no,COD,no,yes,low,U05116
C0134,Laptop ASUS ROG,4.5jt,17jt,no,e-wallet (protected),yes,no,high,U03078
C0135,Samsung Galaxy S23,3.0jt,11.5jt,no,transfer,no,yes,high,U09676
C0136,Mesin Cuci,527rb,3.8jt,no,transfer,yes,no,high,U06877
C0137,Meja Kerja Kayu,867rb,1.1jt,no,transfer,yes,no,high,U06974
C0138,iPhone 13,1.8jt,10jt,no,transfer,yes,no,high,U08082
C0139,AC 1 PK,1.2jt,3.8jt,no,transfer,yes,no,high,U05076
C0140,Samsung Galaxy S23,3.7jt,11.5jt,no,COD,yes,no,high,U08171
C0141,Tablet iPad,3.9jt,7.5jt,no,transfer,no,no,high,U04104
C0142,Handphone Xiaomi,3.1jt,3jt,yes,e-wallet (protected),no,yes,low,U07192
C0143,Tablet iPad,7.4jt,7.5jt,yes,COD,no,yes,low,U02402
C0144,iPhone 15 Pro,16.8jt,19.5jt,no,transfer,no,yes,medium,U08978
C0145,Jam Tangan Original,2.5jt,3.8jt,yes,transfer,yes,no,high,U04131
C0146,Jam Tangan Original,2.7jt,3.8jt,yes,e-wallet (protected),yes,yes,low,U07330
C0147,Tas Branded,1.1jt,4.5jt,no,transfer,no,yes,high,U00479
C0148,Set Peralatan Dapur,711rb,950rb,no,transfer,no,no,high,U00388
C0149,Laptop ASUS ROG,2.4jt,17jt,no,transfer,yes,no,high,U05878
C0150,Sepatu Sneakers Original,391rb,1.6jt,no,transfer,yes,no,high,U04236
C0151,Lemari Pakaian,2.1jt,2jt,no,COD,no,yes,low,U07633
C0152,Laptop ASUS ROG,3.9jt,17jt,no,transfer,yes,no,high,U05699
C0153,Laptop ASUS ROG,13.7jt,17jt,no,transfer,yes,yes,high,U03772
C0154,Speaker Bluetooth,375rb,700rb,no,COD,yes,no,high,U09354
C0155,Set Kosmetik Original,243rb,450rb,yes,transfer,yes,no,high,U01939
C0156,Speaker Bluetooth,206rb,700rb,no,transfer,yes,yes,high,U05354
C0157,Kursi Gaming,1.0jt,2.4jt,no,transfer,no,no,high,U09667
C0158,Laptop Macbook Air M2,6.8jt,15.5jt,no,transfer,yes,no,high,U01979
C0159,Kamera Mirrorless Sony,6.4jt,10.5jt,no,transfer,yes,yes,high,U06226
C0160,iPhone 13,2.0jt,10jt,no,transfer,yes,no,high,U03848
C0161,Laptop ASUS ROG,9.2jt,17jt,no,transfer,yes,yes,high,U01055
C0162,Motor Bekas Matic,1.7jt,14jt,no,e-wallet (protected),yes,no,high,U01922
C0163,TV LED 50 inch,5.7jt,6jt,yes,COD,no,yes,low,U05092
