message;label
Kalau saya ambil di toko langsung, apakah ada diskon?;legitimate
Barang akan langsung dikirim setelah transfer DP 100%.;scam
Kalau ada cacat produk bisa retur gak ya?;legitimate
Baik, saya akan ke toko langsung untuk cek barangnya dulu.;legitimate
Baik kak, saya tunggu barangnya sampai ya.;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp10.000.000.;scam
Baik, saya akan ke toko langsung untuk cek barangnya dulu.;legitimate
Rekening BCA saya: 1234567890, transfer dulu ya kak baru saya proses pengiriman hari ini.;scam
Kapan kira-kira barangnya bisa dikirim?;legitimate
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Harga miring khusus 1 jam ke depan, buruan transfer ya kak.;scam
Baik kak, saya tunggu barangnya sampai ya.;legitimate
Mohon segera transfer, saya harus tutup toko dalam 10 menit ini.;scam
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Kondisi barangnya masih mulus semua kak?;legitimate
Baik, saya akan ke toko langsung untuk cek barangnya dulu.;legitimate
Maaf kak stok sudah habis, tapi saya masih ada 1 unit khusus buat yang transfer duluan.;scam
Ini barang bekas atau baru ya kak?;legitimate
Jangan sampai kehabisan, buruan transfer sebelum jam 12 malam.;scam
Halo kak, ini alamat rekening saya, transfer full dulu ya baru saya packing.;scam
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Untuk pengiriman ke Tangerang kena ongkir berapa ya?;legitimate
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Saya sudah cek toko ini di marketplace, ratingnya bagus.;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp1.000.000.;scam
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Stok tinggal 1, transfer sekarang juga sebelum kehabisan!;scam
Saya butuh OTP yang baru saja dikirim ke nomor Anda untuk verifikasi pengiriman.;scam
Baik kak, saya tunggu barangnya sampai ya.;legitimate
Saya butuh OTP yang baru saja dikirim ke nomor Anda untuk verifikasi pengiriman.;scam
Harga miring khusus 1 jam ke depan, buruan transfer ya kak.;scam
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp10.000.000.;scam
Baik kak, saya tunggu barangnya sampai ya.;legitimate
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Ongkirnya ditanggung pembeli atau penjual kak?;legitimate
Klik link berikut untuk mengaktifkan hadiah undian BCA Anda.;scam
Mohon konfirmasi kalau barang sudah dikirim ya kak.;legitimate
Transfer sekarang untuk mendapatkan hadiah!;scam
Ini barang bekas atau baru ya kak?;legitimate
Untuk verifikasi akun premium, mohon masukkan password dan OTP Anda di sini.;scam
Buruan order kak, cuma tersisa waktu 15 menit lagi untuk harga ini.;scam
Ini barang bekas atau baru ya kak?;legitimate
Saya butuh OTP yang baru saja dikirim ke nomor Anda untuk verifikasi pengiriman.;scam
Saya sudah cek toko ini di marketplace, ratingnya bagus.;legitimate
Barang original 100%, tapi maaf gak bisa COD, harus DP dulu 50%.;scam
Harga miring khusus 1 jam ke depan, buruan transfer ya kak.;scam
Saya mau tanya dulu soal ukurannya sebelum order.;legitimate
Kalau saya ambil di toko langsung, apakah ada diskon?;legitimate
Buruan order kak, cuma tersisa waktu 15 menit lagi untuk harga ini.;scam
Kondisi barangnya masih mulus semua kak?;legitimate
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Saya sudah cek toko ini di marketplace, ratingnya bagus.;legitimate
Klik tautan ini untuk mengambil hadiah gratis pulsa 100rb dari operator Anda.;scam
Harga miring khusus 1 jam ke depan, buruan transfer ya kak.;scam
Kalau ada cacat produk bisa retur gak ya?;legitimate
Saya jual jam tangan murah, cuma bisa transfer dulu baru saya kirim.;scam
Selamat! Anda memenangkan undian senilai Rp1.000.000, klik link ini untuk klaim.;scam
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Terima kasih infonya kak, saya akan pertimbangkan dulu.;legitimate
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Barang original 100%, tapi maaf gak bisa COD, harus DP dulu 50%.;scam
Apakah harga sudah termasuk ongkir?;legitimate
Transfer sekarang untuk mendapatkan hadiah!;scam
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Waduh kak keburu diambil orang lain lho, transfer sekarang ya biar saya kunci barangnya.;scam
Untuk pengiriman ke Medan kena ongkir berapa ya?;legitimate
Terima kasih infonya kak, saya akan pertimbangkan dulu.;legitimate
Boleh lihat foto barangnya lebih dekat kak?;legitimate
COD tidak bisa kak, harus transfer dulu karena barang stok terbatas dari luar kota.;scam
Paket Anda tertahan di bea cukai, transfer biaya admin Rp10.000.000 untuk pelepasan.;scam
Harga miring khusus 1 jam ke depan, buruan transfer ya kak.;scam
Akun Anda akan diblokir, segera klik link berikut untuk verifikasi.;scam
Terima kasih infonya kak, saya akan pertimbangkan dulu.;legitimate
Kirimkan foto KTP dan selfie untuk proses pencairan dana.;scam
Apakah harga sudah termasuk ongkir?;legitimate
Untuk klaim cashback, mohon konfirmasi nomor kartu dan CVV Anda.;scam
Terima kasih kak, barang sudah sampai dengan baik.;legitimate
Baik kak, kalau begitu saya order 2 pcs ya.;legitimate
Apakah masih ada garansi resminya?;legitimate
Halo kak, ini alamat rekening saya, transfer full dulu ya baru saya packing.;scam
Mohon kirimkan PIN ATM untuk proses refund.;scam
Baik kak, saya tunggu barangnya sampai ya.;legitimate
Jangan sampai kehabisan, buruan transfer sebelum jam 12 malam.;scam
Barang original 100%, tapi maaf gak bisa COD, harus DP dulu 50%.;scam
Kalau saya ambil di toko langsung, apakah ada diskon?;legitimate
Saya baru pertama beli di sini, semoga amanah ya kak.;legitimate
Promo spesial hari ini, transfer sekarang atau hangus!;scam
Kirim kode OTP Anda untuk verifikasi akun.;scam
Klik link berikut untuk mengaktifkan hadiah undian BCA Anda.;scam
Kalau ada cacat produk bisa retur gak ya?;legitimate
Saya mau tanya dulu soal ukurannya sebelum order.;legitimate
Klik tautan ini untuk mengambil hadiah gratis pulsa 100rb dari operator Anda.;scam
Jangan sampai kehabisan, buruan transfer sebelum jam 12 malam.;scam
Akun Anda akan diblokir, segera klik link berikut untuk verifikasi.;scam
Baik kak, saya pikir-pikir dulu ya sebelum order.;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp5.000.000.;scam
Halo kak, ini alamat rekening saya, transfer full dulu ya baru saya packing.;scam
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Rekening ini khusus dipakai sekali transaksi, transfer sekarang biar cepat diproses.;scam
Saya sudah cek toko ini di marketplace, ratingnya bagus.;legitimate
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Halo kak, ini alamat rekening saya, transfer full dulu ya baru saya packing.;scam
Saya lihat produk ini juga ada di toko resmi, harganya beda tipis.;legitimate
Segera lakukan pembayaran penuh sekarang untuk menghindari pembatalan otomatis.;scam
Boleh minta nomor resi setelah dikirim kak?;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp1.000.000.;scam
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Rekening ini khusus dipakai sekali transaksi, transfer sekarang biar cepat diproses.;scam
Klik tautan ini untuk mengambil hadiah gratis pulsa 100rb dari operator Anda.;scam
Barang original 100%, tapi maaf gak bisa COD, harus DP dulu 50%.;scam
Baik kak, saya tunggu barangnya sampai ya.;legitimate
COD tidak bisa kak, harus transfer dulu karena barang stok terbatas dari luar kota.;scam
Klik link berikut untuk mengaktifkan hadiah undian BCA Anda.;scam
Bisa dikirim menggunakan JNE reguler kak?;legitimate
Untuk pengiriman ke Surabaya kena ongkir berapa ya?;legitimate
Apakah bisa kirim video unboxing sebelum saya transfer?;legitimate
Kalau COD di area Tangerang bisa gak kak?;legitimate
Saya jual tas original murah, cuma bisa transfer dulu baru saya kirim.;scam
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Promo spesial hari ini, transfer sekarang atau hangus!;scam
Saya lihat produk ini juga ada di toko resmi, harganya beda tipis.;legitimate
Kalau saya ambil di toko langsung, apakah ada diskon?;legitimate
Mohon segera transfer, saya harus tutup toko dalam 10 menit ini.;scam
Rekening ini khusus dipakai sekali transaksi, transfer sekarang biar cepat diproses.;scam
Untuk klaim cashback, mohon konfirmasi nomor kartu dan CVV Anda.;scam
Rekening BCA saya: 1234567890, transfer dulu ya kak baru saya proses pengiriman hari ini.;scam
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp5.000.000.;scam
Stok tinggal 1, transfer sekarang juga sebelum kehabisan!;scam
Saya jual jam tangan murah, cuma bisa transfer dulu baru saya kirim.;scam
Rekening ini khusus dipakai sekali transaksi, transfer sekarang biar cepat diproses.;scam
Apakah masih ada garansi resminya?;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp2.500.000.;scam
Saya sudah cek toko ini di marketplace, ratingnya bagus.;legitimate
Boleh lihat foto barangnya lebih dekat kak?;legitimate
Kalau saya ambil di toko langsung, apakah ada diskon?;legitimate
Anda terpilih sebagai pemenang program loyalitas, transfer biaya pajak dulu Rp1.000.000.;scam
Klik tautan ini untuk mengambil hadiah gratis pulsa 100rb dari operator Anda.;scam
Boleh minta nomor resi setelah dikirim kak?;legitimate
